id_RoRc06AHZt_E6n_2rtC39tZOB	Aaron_Davidson	graduatedFrom	Southern_Methodist_University	after	1996	before	-
id_RoRc06AHZt_E6n_Po5d4z6Ngy	Aaron_Davidson	graduatedFrom	Emory_University	after	1993	before	-
id_UE8h65I!Fg_E6n_y7HkXOjTYr	Aaron_Eckhart	graduatedFrom	Brigham_Young_University	after	1994	before	-
id_w9hMV4j2Yl_E6n_cBWmxATfZf	Aaron_Halfaker	graduatedFrom	University_of_Minnesota	after	2013	before	-
id_Fr63oFYSN!_E6n_dEWsH8riYa	Aaron_Marcus	graduatedFrom	Princeton_University	after	1965	before	-
id_Fr63oFYSN!_E6n_5oM1Xz2Wj!	Aaron_Marcus	graduatedFrom	Yale_University	after	1968	before	-
id_Gz!LJx5?35_E6n_rBGBuGYLxu	Aaron_O'Connell	graduatedFrom	Purdue_University	after	2008	before	-
id_e7J9BJ5aFO_E6n_QD6zbQ5AgP	Abass_Alavi	graduatedFrom	Tabriz_University_of_Medical_Sciences	after	2015	before	-
id_e7J9BJ5aFO_E6n_pgulyGJnmB	Abass_Alavi	graduatedFrom	University_of_Bologna	after	2007	before	-
id_e7J9BJ5aFO_E6n_f!p8BCs9qB	Abass_Alavi	graduatedFrom	University_of_the_Sciences	after	2008	before	-
id_e7J9BJ5aFO_E6n_7jKjrQlpjb	Abass_Alavi	graduatedFrom	Tehran_University_of_Medical_Sciences	after	1964	before	-
id_e7J9BJ5aFO_E6n_QFBZxi!Zku	Abass_Alavi	graduatedFrom	Shiraz_University	after	2007	before	-
id_7VSdcRKXkR_E6n_K6DdiZHlgG	Abbas_Torabian	graduatedFrom	University_of_Tehran	after	2016-05	before	-
id_LqikqmchWw_E6n_EQIelc1fUy	Abdallah_Schleifer	graduatedFrom	University_of_Pennsylvania	after	1956	before	-
id_LqikqmchWw_E6n_djPFqd7x8v	Abdallah_Schleifer	graduatedFrom	American_University_of_Beirut	after	1980	before	-
id_ppyVIYEKXB_E6n_xIUt1OZcAr	Abdellah_Taïa	graduatedFrom	Sorbonne	after	2014-04	before	-
id_?gIIoVUztV_E6n_QQklat1B4F	Abraham_David_Sofaer	graduatedFrom	New_York_University_School_of_Law	after	1965	before	-
id_M!sMiW?V7Q_E6n_RdFyuKGwHa	Abrah_Comfort_Rosemond	graduatedFrom	University_of_Cape_Coast	after	2002	before	-
id_8xnor0!rP0_E6n_jLg5uNZyIq	A._B._Yehoshua	graduatedFrom	Hebrew_University_of_Jerusalem	after	1961	before	-
id_S6GJPVMjDL_E6n_uGcy9Oa6Of	Adam_Empie	graduatedFrom	Union_College	after	1807	before	-
id_1d1goAkSRF_E6n_tUYHgAivzz	Adam_Khoo	graduatedFrom	National_University_of_Singapore	after	1995	before	1998
id_6eGby9bMwg_E6n_HTceIuWhh4	Adele_Stimmel_Chase	graduatedFrom	University_of_California,_Berkeley	after	1938	before	-
id_nF!I0Z7qOg_E6n_ybuILuAguE	Adena_Williams_Loston	graduatedFrom	Bowling_Green_State_University	after	1974	before	-
id_nF!I0Z7qOg_E6n_irEcNPRD0C	Adena_Williams_Loston	graduatedFrom	Alcorn_State_University	after	1973	before	-
id_gm?G9ubPqE_E6n_Jw3R85Ticy	Adetokunbo_Lucas	graduatedFrom	Durham_University	after	1986	before	-
id_4g3TIEqu9O_E6n_jHU51YltDf	Adrian_Holovaty	graduatedFrom	Missouri_School_of_Journalism	after	2001	before	-
id_DrsfAFJhCQ_E6n_LlMa2ZdpQw	Adrianne_Wadewitz	graduatedFrom	Indiana_University	after	2011	before	-
