id_HoM8xPNsWk_QeK_FxCUvxYreR	Hans_Rohrbach	hasAcademicAdvisor	Issai_Schur	after	1932	before	-
id_xn2QTEz7Za_QeK_j9?6b57ZZU	Haroon_Ahmed	hasAcademicAdvisor	Charles_Oatley	after	2013-04	before	-
id_POAsW4XZw3_QeK_jmR1JHtM!Q	Harry_Anderson_(chemist)	hasAcademicAdvisor	Jeremy_Sanders	after	2014-04	before	-
id_!RVfyo7bWj_QeK_l9pV?SUqIM	Heinrich_August_Winkler	hasAcademicAdvisor	Hans_Rothfels	after	1963	before	-
id_m63KV0x3wl_QeK_3K3xRijm2r	Hermann_Boerner	hasAcademicAdvisor	Leon_Lichtenstein	after	1932	before	1934
id_O1jhKUBSZq_QeK_MKDGskCHHK	Holbrook_Mann_MacNeille	hasAcademicAdvisor	Marshall_Harvey_Stone	after	1935	before	-
id_UpWG5LtJwT_QeK_VbBwJnLdeZ	Ian_Foster	hasAcademicAdvisor	Keith_Clark	after	1988	before	-
id_whECO5Y?cP_QeK_G86NkiaPoZ	Ian_Newton	hasAcademicAdvisor	David_Lack	after	2016-07	before	-
id_CLnvukWyMK_QeK_gtroqMliJi	Iris_Chang	hasAcademicAdvisor	George_Klir	after	1986	before	-
id_aRBnCeV54u_QeK_myQkUqPiW0	Ivan_Sansom	hasAcademicAdvisor	M._Paul_Smith	after	2011-04	before	-
id_jnn?EXfK5P_QeK_j62bWNEtto	James_B._Pollack	hasAcademicAdvisor	Carl_Sagan	after	1962	before	1965
id_CNs6NNrtIx_QeK_faJoCujBVi	James_P._Gordon	hasAcademicAdvisor	Charles_H._Townes	after	2016-03	before	-
id_Vxxqlr8esw_QeK_EB11xR0JX5	Jan-Åke_Gustafsson	hasAcademicAdvisor	Sune_Bergström	after	1982	before	-
id_INSIThBVGl_QeK_4OjAUKgYTw	Jeremiah_P._Ostriker	hasAcademicAdvisor	Subrahmanyan_Chandrasekhar	after	2015-11	before	-
id_BNV1!iuMFq_QeK_O3lV0BsNsV	Jim_Agler	hasAcademicAdvisor	John_B._Conway	after	1980	before	-
id_wx?ZnuimVF_QeK_gnzboGuhYD	John_E._Walker	hasAcademicAdvisor	Edward_Abraham	after	2014-01	before	-
id_PhAVhCHqVl_QeK_XfWtmWUN3Q	Jonathan_D._G._Jones	hasAcademicAdvisor	Richard_B._Flavell	after	2017-04	before	-
id_fumBr?fwNS_QeK_naN5EfPJWa	J_Strother_Moore	hasAcademicAdvisor	Rod_Burstall	after	1973	before	-
id_zFFDvNzDkq_QeK_LVPcEU6PvI	Judith_Howard	hasAcademicAdvisor	Dorothy_Hodgkin	after	2016-08	before	-
id_JPs4kYIBUD_QeK_l9pV?SUqIM	Karl_Heinz_Bremer	hasAcademicAdvisor	Hans_Rothfels	after	1934	before	-
id_ToafY!2rRX_QeK_8H2RZDRoDU	Keith_Runcorn	hasAcademicAdvisor	Patrick_Blackett	after	2015-07	before	-
id_VNFzwNkEei_QeK_YqMAYCP91o	Ken_Freeman_(astronomer)	hasAcademicAdvisor	Donald_Lynden-Bell	after	2017-04	before	-
id_afAN7lw4ie_QeK_H1pnDIP3vm	Kerr_Grant	hasAcademicAdvisor	Thomas_Ranken_Lyle	after	2015-04	before	-
id_Rv6MGD4uI6_QeK_rA8m2i9B0n	Kevin_Buzzard	hasAcademicAdvisor	Richard_Taylor_(mathematician)	after	2017-03	before	-
id_YKCOfzJE40_QeK_bxX7uZW9xx	Kim_Nasmyth	hasAcademicAdvisor	Murdoch_Mitchison	after	2016-03	before	-
id_hqYOQyKsBe_QeK_wJQDE4Mw35	Lee_Kwang-hee	hasAcademicAdvisor	Alan_J._Heeger	after	2000	before	-
id_QW9KzL8CKJ_QeK_gtroqMliJi	Luis_M._Rocha	hasAcademicAdvisor	George_Klir	after	1997	before	-
id_8q6WXdFDbD_QeK_mEgeFgT293	Mads_Tofte	hasAcademicAdvisor	Robin_Milner	after	1988	before	-
id_MxRslouhj6_QeK_7P94BSCZEx	Marlan_Scully	hasAcademicAdvisor	Willis_Lamb	after	1966	before	-
id_ntm!HqB?ym_QeK_QchRE0iHlx	Michael_Gribskov	hasAcademicAdvisor	David_Eisenberg	after	2013-06	before	-
id_NqWtx0txoH_QeK_naN5EfPJWa	Michael_J._C._Gordon	hasAcademicAdvisor	Rod_Burstall	after	1973	before	-
id_OFL64SliiA_QeK_UntElwSvs5	Michael_K._Moe	hasAcademicAdvisor	Frederick_Reines	after	1965	before	-
id_8?uYZrbtui_QeK_7P94BSCZEx	Norman_Myles_Kroll	hasAcademicAdvisor	Willis_Lamb	after	1948	before	-
id_8R3naPCWWw_QeK_lHyaFNmncd	Olivier_Voinnet	hasAcademicAdvisor	David_Baulcombe	after	2016-07	before	-
id_nkVLi9xC2K_QeK_13QPQFkAFC	Philippa_Gardner	hasAcademicAdvisor	Gordon_Plotkin	after	2015-10	before	-
id_LovzdSX!iq_QeK_gtroqMliJi	Richard_M._Smith	hasAcademicAdvisor	George_Klir	after	2000	before	-
id_mKK?FHClj2_QeK_lHyaFNmncd	Robert_A._Martienssen	hasAcademicAdvisor	David_Baulcombe	after	2016-07	before	-
id_EF78UoFkBG_QeK_G86NkiaPoZ	Robert_Hinde	hasAcademicAdvisor	David_Lack	after	2016-07	before	-
id_hxFgf4mD6C_QeK_knSB?pg5IM	Robin_Baker_(biologist)	hasAcademicAdvisor	H._E._Hinton	after	2015-10	before	-
id_JTfF8cJI7Y_QeK_ramnV8NWPK	S._Francis_Boys	hasAcademicAdvisor	Martin_Lowry	after	2013-10	before	-
id_SFjXccbj90_QeK_yjIsg!Idjm	Shankar_Balasubramanian	hasAcademicAdvisor	Chris_Abell	after	2016-12	before	-
id_xBZAlYYiJN_QeK_hBp1yTDs!A	Shanti_Swaroop_Bhatnagar	hasAcademicAdvisor	Frederick_G._Donnan	after	2014-01	before	-
id_PUy2mP3suo_QeK_wX44Nha93c	Stan_Boutin	hasAcademicAdvisor	Tony_Sinclair_(biologist)	after	2016-10	before	-
id_ZNTiF?7aBw_QeK_rEO2FQXAMd	Stanley_Mandelstam	hasAcademicAdvisor	Richard_Dalitz	after	2016-07	before	-
id_Y0OW5l6!6v_QeK_yv?z3wnOBK	Stephen_E._Cross	hasAcademicAdvisor	Robert_Tienwen_Chien	after	2016-11	before	-
id_MugHsRyauW_QeK_J8Qs3fXnBg	Stephen_Mann_(chemist)	hasAcademicAdvisor	Robert_Williams_(chemist)	after	2016-11	before	-
id_Wu3Q16vDsL_QeK_s9EhcHVv?L	Svante_Janson	hasAcademicAdvisor	Lennart_Carleson	after	1977	before	-
id_Wu3Q16vDsL_QeK_cXMS0L2SJm	Svante_Janson	hasAcademicAdvisor	Carl-Gustav_Esseen	after	1984	before	-
id_lRMa6ZhmaL_QeK_naN5EfPJWa	Thorsten_Altenkirch	hasAcademicAdvisor	Rod_Burstall	after	1993	before	-
id_wX44Nha93c_QeK_j?ckn94!TS	Tony_Sinclair_(biologist)	hasAcademicAdvisor	Nikolaas_Tinbergen	after	2016-10	before	-
id_?MMftc2ITB_QeK_xCkGrPZjNs	Vernon_L._Smith	hasAcademicAdvisor	Wassily_Leontief	after	2017-05	before	-
id_djDnBZJeuW_QeK_I9CRRs6Xy5	Veronica_van_Heyningen	hasAcademicAdvisor	Walter_Bodmer	after	2014-03	before	-
id_sXibhhHF2y_QeK_FrGvKUaLKU	Vladimir_Prelog	hasAcademicAdvisor	Emil_Votoček	after	2015-11	before	-
id_jXH1KhOAPv_QeK_6o7?vLz8cV	Wiesława_Nizioł	hasAcademicAdvisor	Gerd_Faltings	after	2016-05	before	-
id_BekvnQiTCB_QeK_MKDGskCHHK	William_Frederick_Eberlein	hasAcademicAdvisor	Marshall_Harvey_Stone	after	1942	before	-
id_g9rO3wQuIs_QeK_4OjAUKgYTw	Yousef_Sobouti	hasAcademicAdvisor	Subrahmanyan_Chandrasekhar	after	2015-11	before	-
