id_EAXtwUrm8y_Mx8_aR3zE!ZE34	Julia,_Lady_Inglis	created	Siege_of_Lucknow	inDateTime	1857
id_eZWBjThUMP_Mx8_7FKn1isL9A	Julius_Evola	created	The_Mystery_of_the_Grail	inDateTime	1937
id_EsPimUE9ET_Mx8_5MKTInETb4	Knowledge_Adventure	created	Neopets	inDateTime	2014
id_1RZososkzu_Mx8_WERh2DYgAo	Line_Corporation	created	MixRadio	inDateTime	2015
id_AOkac8BzZf_Mx8_SuIUOGrHg0	Larry_Niven	created	Lucifer's_Hammer	inDateTime	1977
id_ooDa74cEP8_Mx8_m5n3uDbDsm	Leo_Butler	created	Redundant_(play)	inDateTime	2001
id_ey7ovgcdO9_Mx8_GP90YYn9kv	Le_Grand_Kallé	created	Indépendance_Cha_Cha	inDateTime	2010
id_2x6B4VjyNv_Mx8_nxHXwFypAO	Lord_Byron	created	Mazeppa_(Byron)	inDateTime	1819
id_doEE0FLb2A_Mx8_lkLHNJyHKW	Mana_Ashida	created	Marumo_no_Okite	inDateTime	2011
id_WVFmKZexy5_Mx8_71hI8KwNyH	Marc_Baril	created	Crash_Bandicoot	inDateTime	2005
id_Hmob12nOyF_Mx8_smbLfRmaIa	Manana_Antadze	created	Macbeth	inDateTime	2008
id_xLl3aq?hf8_Mx8_lWdRU6S3Ex	Mark_Wood_(violinist)	created	NASCAR_on_CBS	inDateTime	1995
id_iwG8BbZD?o_Mx8_Z2Ws8mz9RG	Marc_Connelly	created	Tall_Story	inDateTime	1959
id_GUGsaDQuCp_Mx8_99S6VZVGgq	Marilynne_Robinson	created	Home_(Robinson_novel)	inDateTime	2008
id_gpeMkV4lWU_Mx8_PauxvU7p2r	Neversoft	created	Guitar_Hero	inDateTime	2007
id_4V4lqC4BSa_Mx8_sSZUvT1yBh	Mildred_Joanne_Smith	created	No_Way_Out_(1950_film)	inDateTime	1950
id_r29rtAdZmT_Mx8_Rrl2469Ilj	Mylène_Farmer	created	Never_Tear_Us_Apart	inDateTime	2010
id_EeSKLx9E!y_Mx8_uG!pOuVV!a	Nicholas_Goodrick-Clarke	created	The_Occult_Roots_of_Nazism	inDateTime	1985
id_joJ!0Xe?DQ_Mx8_IZFEJ7gkzT	Oracle_Corporation	created	OpenOffice.org	inDateTime	2010
id_NZW9bsDwn3_Mx8_NKkVPEKHAV	Nintendo_Research_&_Development_2	created	Sutte_Hakkun	inDateTime	2009-10
id_kfNDv2Nmfr_Mx8_T?5JXG8WHH	Paul_C._Reilly	created	Church_of_the_Good_Shepherd_(New_York_City)	inDateTime	1950
id_Z?3QX0kET7_Mx8_4wDIMRl2m?	Paddy_Considine	created	This_Is_England	inDateTime	2014-01
id_pxUTnlbIaD_Mx8_OGs0VvLFqn	Phanishwar_Nath_'Renu'	created	Maila_Anchal	inDateTime	1954
id_qYFoOIUHVm_Mx8_zt2lpo881e	Peter_Andreas_Blix	created	Hopperstad_Stave_Church	inDateTime	19
id_hFI1o6FT2A_Mx8_lakkQYI39H	Piet_Oudolf	created	Battery_Park	inDateTime	2003
id_GUTCW5NBNX_Mx8_FrCqvttb7j	Philip_Venables	created	4.48_Psychosis	inDateTime	2016
id_7W6AVVjFC6_Mx8_7hqKK6Yq8D	Richard_Jobson_(television_presenter)	created	16_Years_of_Alcohol	inDateTime	2003
id_3SA4mqoWdP_Mx8_jWyKlTvx7F	Raymond_Loewy	created	PRR_T1	inDateTime	1962
id_MvC8JJLISF_Mx8_MnbOvoKoy?	Robert_Duncan_(composer)	created	Buffy_the_Vampire_Slayer	inDateTime	2002
id_7QUbcXJ7?M_Mx8_0erXKsZSl0	Robert_Spencer_(author)	created	The_Politically_Incorrect_Guide_to_Islam_(And_the_Crusades)	inDateTime	2005
id_ta6evYcOf2_Mx8_HtgCZvl!J8	Sacha_Guitry	created	A_Crime_in_Paradise	inDateTime	1951
id_?ocr8YGNCy_Mx8_6Cj6SKq2gA	Roland_Hinton_Perry	created	Commonwealth_(statue)	inDateTime	1905
id_Aw51yYdSOW_Mx8_cd6T2cnZEk	Shahid_Nadeem	created	Burqavaganza	inDateTime	2008
id_t4ZuzqRMEX_Mx8_HqBYaTJzsB	Score_Productions	created	Texas_(TV_series)	inDateTime	1980
id_aqIWoHVXHY_Mx8_7CXqR7AkFL	Sid_Colin	created	On_the_House_(TV_series)	inDateTime	1970
id_7UVeLl5wHW_Mx8_2ta8FWsjsg	Shuki_Levy	created	The_Real_Ghostbusters	inDateTime	1986
id_5QOay259ZS_Mx8_ka!b0BxD6T	Shel_Silverstein	created	The_Giving_Tree	inDateTime	1964
id_Rp!C4mlYrv_Mx8_Ut43T2YSdZ	Storm_de_Hirsch	created	Goodbye_in_the_Mirror	inDateTime	1964
id_J3B4SnzxUg_Mx8_H3GgchJs13	Terrence_C._Carson	created	Kratos_(God_of_War)	inDateTime	2005
id_JO5pYkmJ4M_Mx8_IZFEJ7gkzT	Sun_Microsystems	created	OpenOffice.org	inDateTime	1999
id_xM8WPJxSlw_Mx8_uMLefRC0L6	Susan_Maxman	created	American_Institute_of_Architects	inDateTime	1992
id_gfqU1NbQ7s_Mx8_mvqhETDZI8	Tarık_Akan	created	Yol	inDateTime	1982
id_9KPXy?uQoW_Mx8_cbzBMbNNNB	Terrence_Malick	created	Bear's_Kiss	inDateTime	2013-05
id_qIEpbe6yUh_Mx8_DiWaegCy3B	Ulisse_Stacchini	created	A.C._Milan	inDateTime	1925
id_WbhLhTyFia_Mx8_cm1v8f!QvZ	Vicious_Cycle_Software	created	Earth_Defense_Force	inDateTime	2011
id_iXKhPyRALL_Mx8_cMIlxXU?px	William_Gaddis	created	A_Frolic_of_His_Own	inDateTime	1994
id_VvU6w3408D_Mx8_zXrlnlCSkQ	Vincent_Bugliosi	created	Helter_Skelter_(book)	inDateTime	1974
id_Yy?5xXlT?1_Mx8_!!cICaLw?E	Whit_Stillman	created	The_Last_Days_of_Disco	inDateTime	1998
id_Z4nAHioVyZ_Mx8_UOn6WDAcfC	Willie_Campbell_(golfer)	created	The_Country_Club	inDateTime	1895
id_FS6mz5KOS1_Mx8_zpzh3gVzo3	William_Gibson	created	Neuromancer	inDateTime	1984
id_HZXKjdIcHC_Mx8_anqbue7DSE	William_S._Burroughs	created	Naked_Lunch	inDateTime	1959
id_V31fF!dg4S_Mx8_03JTHKWnFg	Yue_Fei	created	Xing_Yi_Quan	inDateTime	12
id_pLQcmcp4XF_Mx8_ynLBswjRo0	Alice_Duer_Miller	created	Roberta_(1935_film)	inDateTime	1933
id_OlWJuKGNBM_Mx8_87JRGccvCD	Andrew_Davies_(writer)	created	A_Very_Peculiar_Practice	inDateTime	1986
id_1ISs81UkMz_Mx8_NWg9DROcHj	Angus_MacPhail	created	Aventure_Malgache	inDateTime	2009-12
id_0zHvV8F6ib_Mx8_Zloc!2i!eN	Arne_Henriksen	created	Sandvika_Station	inDateTime	1994
id_OLxMhxX1Hq_Mx8_9OIsAkRzRh	August_Strindberg	created	Inferno_(Strindberg_novel)	inDateTime	1897
id_MKt95tc0dm_Mx8_sHloAZbTlJ	Bert_V._Royal	created	Easy_A	inDateTime	2010
id_44ObH0e13J_Mx8_kGqKmGlHbV	Billy_Strayhorn	created	Take_the_u0022Au0022_Train	inDateTime	1939
id_TEZnFBoTne_Mx8_veoTxUsXW5	Brendan_I._Koerner	created	The_Skies_Belong_to_Us	inDateTime	2013
id_MMZlITrpAC_Mx8_6ZWGS5EruZ	Bruce_Timm	created	All-Star_Superman_(film)	inDateTime	2011
id_qYgspiIKrf_Mx8_VL8wBexB4T	Djuna_Barnes	created	Ladies_Almanack	inDateTime	1928
id_4OBgMeWHRB_Mx8_17YjkBCna0	Frances_Burney	created	Camilla_(Burney_novel)	inDateTime	1796
id_lCD6SeDVki_Mx8_sc?Ok56dqx	Gerry_Hunt	created	Blood_Upon_the_Rose	inDateTime	2009
id_p0IQiKpPeU_Mx8_FDvgUGMEp3	Gilbert_Stanley_Underwood	created	William_Kenzo_Nakamura_United_States_Courthouse	inDateTime	2006
id_lFm43glsgG_Mx8_o5n9u3fjl1	Allen_Carr	created	The_Easy_Way_to_Stop_Smoking	inDateTime	1985
id_k53A7nWaH0_Mx8_fj!eGNLzSc	Arnold_Palmer	created	TPC_Boston	inDateTime	2003
id_3N68S33X97_Mx8_WzvU8txdxo	Arthur_Davenport_(engineer)	created	Westland_IV	inDateTime	1991
id_HBb6QN85qA_Mx8_avGPSc74iP	Big_Ant_Studios	created	AFL_(video_game_series)	inDateTime	2011
id_?7rT9NU4vY_Mx8_H!Rr03LzaZ	Bruno_Corbucci	created	The_Blancheville_Monster	inDateTime	2015
id_HbCf3WfeYG_Mx8_RJvT8u6eaw	Bryan_Mantia	created	Infamous_Second_Son	inDateTime	2016-02
id_ZDskPQknzU_Mx8_hP!DSSjUxk	David_Holt_(American_actor)	created	The_Pride_of_the_Yankees	inDateTime	1942
id_0D8eIxH2g!_Mx8_Y8VAdRidWK	David_Jason	created	Still_Open_All_Hours	inDateTime	2013
id_wyVPZT0qG6_Mx8_Gx0MHuvEyd	Edmund_Francis_Law	created	St_Mary's_Church,_Welford	inDateTime	1872
id_FO3xKmfYyd_Mx8_IJvY0c0dZg	Edward_Bellingham	created	Leighlinbridge_Castle	inDateTime	1547
id_OhjNq7cmFe_Mx8_C5jJyzFjvX	Enoch_Sontonga	created	National_anthem_of_South_Africa	inDateTime	1897
id_a2TyxX0cCe_Mx8_1wSj82ckhQ	Benjamin_Henry_Latrobe	created	Hammerwood_Park	inDateTime	1764
id_tQqZLvtCHu_Mx8_qcqo30lTAq	Firaxis_Games	created	X-COM	inDateTime	2008
id_wkS7?SSs04_Mx8_eQjqdQJiHO	Francisco_Tito_Yupanqui	created	Virgen_de_Copacabana	inDateTime	1583
id_c9XOZLR4Lk_Mx8_YgpEjE?7Fx	Funsho_Adeolu	created	Heroes_&_Zeros_(film)	inDateTime	2010
id_Up5fjmYTQf_Mx8_Pr6Ed2HRk4	G._V._Iyer	created	Adi_Shankaracharya_(film)	inDateTime	1983
