id_aZV4nDZJVK_?XG_Nz2!C5Vnj6	Adam_Cheng	isMarriedTo	Lydia_Shum	after	1985	before	1988
id_K?bAYfBMEo_?XG_KqnW69zi1?	Adam_Curry	isMarriedTo	Patricia_Paay	after	1989	before	2009
id_K?bAYfBMEo_?XG_DamuBlFJQ3	Adam_Curry	isMarriedTo	Micky_Hoogendijk	after	2012	before	2015
id_nIKr4k!6aw_?XG_nvSndgOgSu	Adam_Housley	isMarriedTo	Tamera_Mowry	after	2011-05-15	before	-
id_PhZXNVgzSo_?XG_CHnxQquPbZ	Adam_James_(actor)	isMarriedTo	Victoria_Shalet	after	2015	before	-
id_D3Svnu05Ll_?XG_YQGvJ3Qexe	Adam_Levine	isMarriedTo	Behati_Prinsloo	after	2014-07-19	before	-
id_s7YHNMlALA_?XG_MJaeOOvOUr	Adam_Smethurst	isMarriedTo	Rakie_Ayola	after	2004	before	-
id_gUWDcufvqu_?XG_enEpOhMZxp	Adam_Zwar	isMarriedTo	Amanda_Brotchie	after	2003	before	-
id_NV0InB?pr4_?XG_QmdEXqzv83	Ade_Edmondson	isMarriedTo	Jennifer_Saunders	after	1985-05-11	before	-
id_raFfYqjqeY_?XG_8LFknzH6Sq	Adele_Mara	isMarriedTo	Roy_Huggins	after	1952	before	2002
id_nA?IxNvBFn_?XG_ASaYq87KtS	Adelheid_von_Rothschild	isMarriedTo	Edmond_James_de_Rothschild	after	1877	before	-
id_WGXBSTvrRc_?XG_JdgBno5!wq	Adeline_Oppenheim_Guimard	isMarriedTo	Hector_Guimard	after	1909	before	1942
id_d7TErCio3V_?XG_jA1JGC6CKx	Adelle_Lutz	isMarriedTo	David_Byrne	after	1987	before	2004
id_FaY90?0Qbm_?XG_AJiKWBnND?	Aden_Young	isMarriedTo	Loene_Carmen	after	2014	before	-
id_fYnYWl?Y!?_?XG_jqqXOCFyIo	Adhuna_Akhtar	isMarriedTo	Farhan_Akhtar	after	2000	before	2016
id_EQ7e2bRuD!_?XG_YfgxXVACIE	Adinath_Kothare	isMarriedTo	Urmila_Kanitkar	after	2011	before	-
id_AdFfu1TFhN_?XG_Hdvh8lDmfg	Aditya_Pancholi	isMarriedTo	Zarina_Wahab	after	1986	before	-
id_Pk7S4hK5dd_?XG_pheQz9lD2f	Adnan_Menderes	isMarriedTo	Berin_Menderes	after	1906	before	1994
id_OS2mk42J3b_?XG_hOcIbbV7rG	Adolphe_Menjou	isMarriedTo	Kathryn_Carver	after	1928	before	1934
id_OS2mk42J3b_?XG_vVtFSR26uv	Adolphe_Menjou	isMarriedTo	Verree_Teasdale	after	1934	before	1963
id_9DLqdp5JFb_?XG_TZLvu!aHAh	Adolphus_Cambridge,_1st_Marquess_of_Cambridge	isMarriedTo	Margaret_Cambridge,_Marchioness_of_Cambridge	after	1894	before	-
id_kiPPbCRiRC_?XG_hYpCcn3yJz	Adriana_Esteves	isMarriedTo	Vladimir_Brichta	after	2006	before	-
id_JvONAN5bOe_?XG_itvATP03GV	Adriana_Karembeu	isMarriedTo	Christian_Karembeu	after	1998	before	2012
